id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1861281,Carol,9709464,Jessica,Manhattan,East Village,40.72898,-73.98051,Private room,1700,1,0,,,1,0
29424522,1-bed/ba  PR condo Wyn.  Midtown 45 Thanksgiving,30616847,Martha,Manhattan,Midtown,40.75322,-73.97353000000001,Private room,500,3,0,,,1,365
24618542,"New Condo 2 bedrms /1,5bath elevator & balcony",55149412,Ha,Manhattan,Chinatown,40.71409,-73.99434000000001,Entire home/apt,400,1,2,2018-10-07,0.2,4,191
9919042,East Village Two Bedroom,50997070,Panayiota,Manhattan,East Village,40.72964,-73.98095,Entire home/apt,380,1,0,,,1,0
9920363,Convenient Ridgewood Brownstone,50997424,Mark,Queens,Ridgewood,40.70422,-73.8984,Entire home/apt,375,4,5,2019-05-17,0.13,2,364
19408620,Luxury Secured Building / Chic NYC Studio,16932515,Daniela,Manhattan,Midtown,40.76064,-73.97066,Entire home/apt,375,4,2,2017-09-23,0.08,1,178
30193034,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #12,205031545,Red Awning,Manhattan,Midtown,40.754,-73.96531,Entire home/apt,675,28,6,2019-04-25,0.95,49,253
576227,Bright and Spacious Manhattan,2834840,Sheri,Manhattan,Harlem,40.82446,-73.95274,Private room,700,28,4,2016-10-03,0.05,1,22
35189052,Beautiful Brooklyn Brownstone next to Park,26620387,Louise,Brooklyn,Park Slope,40.66737,-73.9747,Entire home/apt,945,4,0,,,1,19
323706,Elegant Spacious Family Townhouse,6064192,Ted And Diane,Manhattan,Upper West Side,40.77892,-73.98238,Entire home/apt,499,30,64,2018-08-03,0.72,1,157
9132731,"2800 SQ FT Loft for Off-Sites, Events, & Shoots",6674503,Evelyn,Brooklyn,Clinton Hill,40.68567,-73.96271999999999,Entire home/apt,750,1,6,2019-06-14,0.17,1,365
34428476,Huge and Bright Apartment on Wall Street,257802323,Dennis,Manhattan,Financial District,40.70485,-74.00752,Entire home/apt,360,3,3,2019-07-06,2.05,1,243
2361020,URBAN CHIC VIDEO/PHOTO SHOOTS ONLY,5535265,Krystal,Brooklyn,Bedford-Stuyvesant,40.68172,-73.93236,Entire home/apt,500,1,11,2015-10-20,0.19,1,365
2952861,Photography Location,1177497,Jessica,Brooklyn,Clinton Hill,40.69127,-73.96563,Entire home/apt,4500,1,5,2018-12-29,0.09,11,365
21762711,Large House in Brooklyn near Express Subway,158554204,Su,Brooklyn,Bedford-Stuyvesant,40.67917,-73.93103,Entire home/apt,700,1,7,2019-06-01,0.42,1,303
